danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,track_name,artist
0.621,0.747,-5.084,0.0337,0.000194,0.426,124.015,0.222,Don’t Wake Me Up,Jonas Blue
0.568,0.824,-4.613,0.0299,0.0,0.753,108.625,0.403,Love Grows (Where My Rosemary Goes),Edison Lighthouse
0.824,0.587,-6.401,0.0937,0.000105,0.514,98.029,0.69,Dance Monkey,Tones And I
0.693,0.678,-7.159,0.0324,5.71e-06,0.404,103.952,0.0151,Higher Love,Kygo
0.763,0.661,-5.592,0.056,0.0,0.632,95.002,0.169,2step,Ed Sheeran
0.815,0.518,-6.594,0.0897,0.0,0.877,151.891,0.223,3 Nights,Dominic Fike
0.682,0.72,-8.173,0.0381,0.0,0.673,117.003,0.326,Run,OneRepublic
0.871,0.815,-4.439,0.0477,6.18e-06,0.823,122.959,0.127,KESI - Remix,Camilo
0.741,0.73,-7.07,0.0349,0.000264,0.725,124.001,0.0279,Satellite,Khalid
0.507,0.828,-6.023,0.0449,2.44e-05,0.489,178.032,0.00711,Higher Power,Coldplay
0.686,0.538,-8.026,0.0345,3.13e-06,0.584,115.884,0.181,Anyone,Justin Bieber
0.64,0.648,-8.113,0.187,0.0,0.548,92.977,0.124,Beautiful People (feat. Khalid),Ed Sheeran
0.722,0.893,-3.255,0.0475,0.000937,0.439,119.932,0.0441,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans
0.685,0.738,-4.413,0.0595,0.0,0.8,112.972,0.0695,Green Green Grass,George Ezra
0.654,0.787,-4.999,0.0502,0.0,0.409,123.979,0.00515,Dive,Hot Shade
0.476,0.594,-6.879,0.135,0.0,0.314,159.702,0.0599,Cover Me In Sunshine,P!nk
0.727,0.626,-8.415,0.0726,2.58e-05,0.322,86.97,0.0469,Be Like That - feat. Swae Lee & Khalid,Kane Brown
0.659,0.615,-5.865,0.0644,0.0,0.193,119.843,0.27,Dancing In The Moonlight (feat. NEIMY),Jubël
0.888,0.778,-3.671,0.0945,0.0,0.774,142.128,0.0566,C'est La Vie (with bbno$ & Rich Brian),Yung Gravy
0.769,0.479,-5.339,0.0385,0.0,0.803,96.051,0.66,Magic In The Hamptons (feat. Lil Yachty),Social House
0.585,0.696,-5.6,0.0307,0.0,0.522,104.01,0.204,Call You Mine,The Chainsmokers
0.687,0.895,-2.983,0.0474,0.00592,0.686,124.041,0.149,What Would You Do?,Joel Corry
0.676,0.525,-5.88,0.028,0.0,0.421,112.011,0.617,Mariposa,Peach Tree Rascals
0.665,0.843,-3.347,0.0354,0.0,0.845,122.029,0.0654,Damn (You’ve Got Me Saying),Galantis
0.88,0.483,-7.012,0.0505,8.68e-06,0.827,124.009,0.0185,Jerusalema (feat. Nomcebo Zikode),Master KG
0.672,0.855,-3.764,0.0397,0.0,0.646,123.056,0.021,Rain On Me (with Ariana Grande),Lady Gaga
0.673,0.704,-8.056,0.36,0.0,0.372,86.919,0.196,Holy (feat. Chance The Rapper),Justin Bieber
0.758,0.598,-5.695,0.0868,0.0,0.658,149.836,0.16,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685
0.761,0.739,-3.591,0.0369,3.35e-06,0.656,118.997,0.178,How Will I Know,Whitney Houston
0.687,0.788,-5.142,0.0352,0.0,0.669,123.02,0.0121,Hallucination,Regard
0.673,0.729,-4.879,0.0496,0.0,0.675,122.023,0.083,Follow Me,Sam Feldt
0.691,0.829,-7.179,0.0412,0.0,0.866,93.059,0.0289,Jalebi Baby (Tesher x Jason Derulo),Tesher
0.575,0.571,-7.906,0.0439,0.0,0.449,105.049,0.0558,This Feeling,The Chainsmokers
0.669,0.832,-5.721,0.0682,0.0,0.7,113.035,0.0106,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Trolls
0.737,0.747,-4.818,0.0323,0.0,0.447,105.943,0.269,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN
0.664,0.316,-10.345,0.519,2.03e-06,0.541,92.875,0.298,I Forgot That You Existed,Taylor Swift
0.708,0.598,-8.365,0.0291,0.0,0.698,112.027,0.037,Skate,Bruno Mars
0.733,0.886,-1.856,0.0426,1.81e-06,0.696,126.031,0.0481,You for Me,Sigala
0.852,0.698,-7.206,0.0629,1.03e-06,0.324,113.039,0.00839,What A Man Gotta Do,Jonas Brothers
0.681,0.657,-4.671,0.0432,0.0,0.628,130.089,0.0748,So Am I,Ava Max
0.779,0.705,-3.895,0.0344,7.91e-06,0.946,101.022,0.369,Tick Tock (feat. 24kGoldn),Clean Bandit
0.514,0.73,-5.934,0.0598,9.54e-05,0.334,171.005,0.00146,Blinding Lights,The Weeknd
0.548,0.816,-4.209,0.0465,0.0,0.557,95.39,0.122,Watermelon Sugar,Harry Styles
0.791,0.862,-3.24,0.11,2.19e-05,0.592,123.994,0.037,One Kiss (with Dua Lipa),Calvin Harris
0.726,0.698,-4.165,0.0431,0.0,0.867,143.994,0.049,Locked out of Heaven,Bruno Mars
0.866,0.813,-4.063,0.0554,0.0,0.969,121.998,0.38,There's Nothing Holdin' Me Back,Shawn Mendes
0.527,0.835,-5.298,0.0433,0.0,0.654,125.983,0.0166,The Nights,Avicii
0.486,0.617,-7.115,0.0287,3.23e-06,0.417,138.015,0.0954,Viva La Vida,Coldplay
0.778,0.824,-5.892,0.0707,0.0,0.758,100.024,0.284,Hips Don't Lie (feat. Wyclef Jean),Shakira
0.726,0.787,-2.494,0.0737,0.0,0.888,124.99,0.009,What Makes You Beautiful,One Direction
0.856,0.609,-7.223,0.0824,8.15e-05,0.928,114.988,0.00801,Uptown Funk (feat. Bruno Mars),Mark Ronson
0.578,0.866,-3.804,0.0619,0.0,0.619,128.038,0.00701,Shut Up and Dance,WALK THE MOON
0.671,0.939,-3.206,0.161,0.0,0.53,129.024,0.191,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull
0.673,0.886,-4.44,0.0431,0.0,0.795,97.012,0.185,"Hey, Soul Sister",Train
0.449,0.585,-6.761,0.0268,8.75e-05,0.212,139.631,0.0509,Paradise,Coldplay
0.635,0.841,-5.379,0.0422,0.0,0.424,109.021,0.0134,Just the Way You Are,Bruno Mars
0.794,0.811,-8.966,0.038,1.07e-06,0.862,116.047,0.0426,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk
0.631,0.927,-2.787,0.0332,0.119,0.465,123.962,0.199,This Is What You Came For,Calvin Harris
0.766,0.873,-6.381,0.143,0.0,0.743,126.988,0.00627,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira
0.672,0.655,-5.021,0.0311,0.0,0.556,134.945,0.0362,Whatever It Takes,Imagine Dragons
0.727,0.974,-2.261,0.0664,0.000532,0.965,79.526,0.103,Hey Ya!,Outkast
0.545,0.675,-6.474,0.0279,0.00197,0.162,124.97,0.00617,A Sky Full of Stars,Coldplay
0.72,0.791,-4.689,0.124,0.0,0.756,102.071,0.0384,Classic,MKTO
0.774,0.753,-5.446,0.0517,0.0,0.896,119.002,0.152,Cake By The Ocean,DNCE
0.755,0.837,-2.718,0.142,0.0,0.714,120.028,0.0991,TiK ToK,Kesha
0.581,0.963,-4.087,0.0981,0.0,0.788,129.992,0.0295,Timber (feat. Ke$ha),Pitbull
0.842,0.734,-5.065,0.0588,0.0,0.952,137.958,0.0427,Sucker,Jonas Brothers
0.751,0.783,-3.724,0.0859,0.0,0.816,119.975,0.00379,Dynamite,Taio Cruz
0.647,0.822,-4.662,0.183,0.0,0.962,160.019,0.219,"Happy - From ""Despicable Me 2""",Pharrell Williams
0.768,0.864,-6.145,0.0324,0.0,0.891,110.008,0.101,Wannabe,Spice Girls
0.759,0.54,-6.039,0.0287,0.0,0.75,116.947,0.037,Señorita,Shawn Mendes
0.765,0.523,-4.333,0.03,3.56e-05,0.394,104.988,0.184,Havana (feat. Young Thug),Camila Cabello
0.707,0.924,-2.842,0.031,0.00703,0.919,127.937,0.000972,Feel So Close - Radio Edit,Calvin Harris
